Acc_x,Acc_y,Acc_z
0.29,0.94,-0.07
0.29,0.93,-0.08
0.28,0.93,-0.06
0.29,0.92,-0.05
0.3,0.91,-0.01
0.32,0.91,0.02
0.34,0.9,0.03
0.35,0.9,0.04
0.36,0.9,0.06
0.37,0.88,0.1
0.39,0.87,0.13
0.4,0.86,0.16
0.4,0.85,0.18
0.4,0.84,0.19
0.41,0.83,0.23
0.43,0.82,0.27
0.5,0.76,0.22
1.02,0.4,1.28
1.01,0.18,2.48
0.58,0.38,1.66
0.52,0.85,0.63
0.1,1.15,0.47
0.01,0.95,0.36
0.37,0.82,0.19
0.41,0.83,0.12
0.35,0.87,0.1
0.44,0.87,0.14
0.48,0.83,0.23
0.44,0.81,0.31
0.38,0.82,0.39
0.36,0.84,0.38
0.37,0.84,0.36
0.39,0.84,0.35
0.41,0.85,0.36
0.44,0.84,0.36
0.45,0.83,0.36
0.44,0.83,0.36
0.42,0.83,0.35
0.4,0.84,0.34
0.38,0.84,0.34
0.37,0.85,0.33
0.37,0.85,0.34
0.37,0.86,0.34
0.39,0.85,0.35
0.4,0.84,0.36
0.4,0.84,0.36
0.4,0.83,0.36
0.4,0.83,0.36
0.4,0.83,0.35
0.39,0.83,0.34
0.4,0.83,0.34
0.4,0.83,0.33
0.4,0.84,0.34
0.4,0.84,0.35
0.4,0.84,0.35
0.39,0.84,0.36
0.39,0.83,0.36
0.39,0.84,0.36
0.39,0.84,0.36
0.39,0.84,0.37
0.4,0.84,0.41
0.41,0.83,0.47
0.41,0.82,0.52
0.39,0.82,0.55
0.39,0.81,0.54
0.42,0.82,0.52
0.45,0.82,0.49
0.45,0.81,0.47
0.48,0.79,0.49
0.51,0.78,0.52
0.5,0.78,0.54
0.47,0.78,0.53
0.45,0.79,0.51
0.43,0.8,0.48
0.41,0.82,0.44
0.38,0.83,0.41
0.37,0.84,0.38
0.38,0.84,0.33
0.37,0.84,0.28
0.34,0.84,0.25
0.33,0.85,0.22
0.34,0.89,0.13
0.32,0.89,0.1
0.28,0.89,0.09
0.32,0.9,0.07
0.34,0.9,0.04
0.29,0.89,0.03
0.29,0.9,0.01
0.3,0.92,0
0.28,0.92,0.02
0.27,0.93,0.01
0.27,0.94,0
0.27,0.94,0
0.27,0.95,-0.01
0.27,0.95,0
0.27,0.95,0
0.26,0.95,0
0.26,0.96,0
0.26,0.96,0
0.26,0.97,0
0.26,0.96,0
0.26,0.96,0.01
0.26,0.95,0.02
0.26,0.96,0.03
0.26,0.95,0.03
0.26,0.95,0.03
0.26,0.95,0.02
0.26,0.95,0.02
0.27,0.94,0.03
0.27,0.95,0.02
0.27,0.95,0.02
0.26,0.95,0.02
0.26,0.95,0.01
0.26,0.95,0
0.26,0.95,0
0.26,0.95,-0.01
0.26,0.95,-0.01
0.25,0.95,-0.02
0.25,0.95,-0.04
0.26,0.95,-0.05
0.26,0.95,-0.04
0.27,0.94,-0.02
0.27,0.94,-0.01
0.27,0.94,0
0.27,0.94,0
0.28,0.93,0.01
0.28,0.93,0.02
0.28,0.93,0.03
0.29,0.92,0.04
0.3,0.92,0.04
0.31,0.92,0.04
0.33,0.91,0.04
0.34,0.9,0.04
0.35,0.89,0.07
