Acc_x,Acc_y,Acc_z
0.09,0.95,0.12
0.09,0.94,0.13
0.09,0.94,0.14
0.09,0.94,0.15
0.09,0.94,0.14
0.1,0.93,0.13
0.11,0.93,0.13
0.13,0.93,0.13
0.14,0.92,0.12
0.16,0.92,0.12
0.18,0.91,0.13
0.18,0.9,0.15
0.15,0.89,0.16
0.14,0.87,0.14
0.13,0.86,0.13
0.13,0.86,0.12
0.14,0.84,0.13
0.17,0.82,0.15
0.36,0.7,-0.5
1.94,0.32,1.4
1.27,0.62,2.88
0.32,1.13,1.08
0.76,1.26,0.61
-0.18,0.94,0.72
-0.35,0.35,0.45
-0.11,0.54,0.17
0.17,0.91,-0.06
0.24,1.04,-0.02
0.22,0.96,0.2
0.22,0.86,0.42
0.19,0.92,0.62
0.27,0.87,0.6
0.26,0.8,0.55
0.2,0.8,0.5
0.18,0.82,0.46
0.18,0.83,0.43
0.19,0.82,0.42
0.23,0.83,0.43
0.26,0.86,0.45
0.28,0.87,0.45
0.28,0.88,0.44
0.28,0.88,0.43
0.25,0.88,0.41
0.23,0.86,0.4
0.22,0.84,0.41
0.23,0.83,0.44
0.25,0.84,0.46
0.26,0.85,0.49
0.26,0.85,0.51
0.25,0.85,0.51
0.24,0.85,0.52
0.23,0.85,0.52
0.23,0.84,0.54
0.23,0.84,0.55
0.23,0.85,0.55
0.23,0.85,0.53
0.24,0.84,0.5
0.27,0.83,0.51
0.29,0.84,0.53
0.31,0.85,0.54
0.31,0.85,0.54
0.3,0.85,0.53
0.28,0.85,0.5
0.27,0.86,0.46
0.26,0.86,0.43
0.25,0.87,0.41
0.25,0.87,0.39
0.24,0.87,0.37
0.22,0.88,0.36
0.21,0.89,0.34
0.19,0.9,0.31
0.18,0.91,0.27
0.16,0.9,0.23
0.15,0.91,0.21
0.15,0.91,0.2
0.15,0.92,0.2
0.15,0.93,0.19
0.14,0.93,0.2
0.14,0.93,0.2
0.13,0.94,0.19
0.12,0.94,0.18
0.11,0.94,0.17
0.1,0.94,0.15
0.1,0.94,0.15
0.1,0.95,0.15
0.1,0.95,0.16
0.1,0.95,0.16
