Acc_x,Acc_y,Acc_z
0.34,0.87,0.34
0.33,0.88,0.34
0.33,0.87,0.33
0.33,0.87,0.33
0.33,0.87,0.33
0.33,0.87,0.33
0.32,0.87,0.33
0.32,0.87,0.33
0.33,0.87,0.34
0.31,0.87,0.35
0.31,0.87,0.36
0.32,0.87,0.36
0.32,0.87,0.36
0.31,0.87,0.37
0.31,0.87,0.36
0.31,0.86,0.35
0.31,0.87,0.35
0.31,0.87,0.35
0.32,0.87,0.34
0.31,0.87,0.34
0.31,0.87,0.35
0.31,0.87,0.35
0.32,0.87,0.35
0.32,0.87,0.35
0.31,0.87,0.35
0.31,0.87,0.35
0.31,0.87,0.35
0.32,0.87,0.35
0.32,0.87,0.35
0.32,0.87,0.35
0.33,0.87,0.34
0.33,0.87,0.34
0.33,0.87,0.35
0.32,0.87,0.35
0.32,0.87,0.34
0.32,0.87,0.34
0.32,0.87,0.33
0.32,0.87,0.33
0.32,0.87,0.34
0.32,0.87,0.34
0.32,0.87,0.34
0.32,0.87,0.34
0.32,0.87,0.34
0.31,0.87,0.34
0.31,0.87,0.34
0.31,0.87,0.35
0.31,0.87,0.35
0.31,0.87,0.35
0.3,0.87,0.35
0.31,0.87,0.35
0.32,0.86,0.37
0.34,0.85,0.39
0.35,0.85,0.42
0.36,0.85,0.43
0.35,0.86,0.43
0.34,0.86,0.44
0.33,0.84,0.45
0.33,0.84,0.46
0.35,0.84,0.46
0.36,0.85,0.44
0.38,0.85,0.42
0.37,0.85,0.38
0.37,0.86,0.39
0.38,0.86,0.4
0.38,0.85,0.4
0.37,0.85,0.38
0.37,0.86,0.37
0.36,0.86,0.35
0.36,0.86,0.34
0.34,0.86,0.33
0.32,0.86,0.31
0.31,0.88,0.3
0.3,0.89,0.28
0.29,0.89,0.25
0.29,0.89,0.23
0.28,0.9,0.21
0.27,0.91,0.18
0.25,0.92,0.17
0.24,0.92,0.16
0.24,0.92,0.14
0.24,0.93,0.13
0.24,0.93,0.12
0.23,0.93,0.11
0.22,0.94,0.09
0.22,0.95,0.06
0.21,0.97,0.03
0.19,0.98,-0.01
0.19,0.98,-0.06
0.16,0.98,-0.07
0.15,0.98,-0.07
0.16,0.98,-0.06
0.16,0.98,-0.05
0.15,0.99,-0.04
0.15,0.98,-0.03
0.15,0.97,-0.01
0.15,0.96,-0.01
0.16,0.96,0
0.17,0.97,-0.01
0.17,0.97,-0.04
0.16,0.96,-0.05
0.17,0.94,-0.05
0.18,0.93,-0.06
0.17,0.93,-0.05
0.17,0.91,-0.04
0.18,0.89,-0.02
0.19,0.87,-0.01
0.19,0.85,0.02
0.18,0.83,0.05
0.19,0.81,0.07
0.22,0.78,0.08
1.2,0.47,0.15
2.75,1,2.09
1.7,1.34,1.78
0.31,1.12,0.27
-0.63,0.63,0.38
-0.54,0.56,0.29
-0.06,0.79,0.05
0.43,0.98,-0.04
0.55,1.08,0.17
0.47,0.96,0.45
0.39,0.88,0.55
0.53,0.87,0.49
0.63,0.84,0.38
0.42,0.84,0.3
0.27,0.81,0.3
0.25,0.82,0.32
0.31,0.85,0.37
0.34,0.82,0.43
0.35,0.8,0.46
0.36,0.82,0.45
0.36,0.84,0.43
0.35,0.85,0.4
0.35,0.85,0.37
0.36,0.85,0.35
0.36,0.86,0.33
0.35,0.87,0.33
0.35,0.86,0.34
0.34,0.85,0.34
0.33,0.84,0.35
0.33,0.85,0.36
0.33,0.86,0.38
0.33,0.86,0.37
0.33,0.86,0.36
0.33,0.86,0.35
0.33,0.86,0.34
0.33,0.86,0.33
0.33,0.86,0.34
0.33,0.85,0.35
0.34,0.85,0.36
0.35,0.85,0.37
0.35,0.85,0.38
0.34,0.85,0.38
0.34,0.85,0.38
0.34,0.85,0.38
0.35,0.86,0.37
0.34,0.86,0.37
0.33,0.86,0.36
0.33,0.86,0.35
0.33,0.85,0.35
0.33,0.85,0.35
0.34,0.86,0.35
0.34,0.86,0.36
0.34,0.86,0.36
0.34,0.85,0.36
0.35,0.85,0.37
0.35,0.85,0.37
0.34,0.85,0.36
0.35,0.85,0.36
0.35,0.86,0.37
0.35,0.86,0.37
0.34,0.86,0.37
0.34,0.86,0.36
0.34,0.85,0.36
0.33,0.85,0.35
0.33,0.85,0.35
0.33,0.85,0.36
0.34,0.86,0.36
0.34,0.86,0.36
0.34,0.85,0.36
0.33,0.85,0.37
0.33,0.85,0.36
0.33,0.85,0.37
0.34,0.85,0.37
0.33,0.85,0.37
0.33,0.85,0.37
0.33,0.85,0.36
0.33,0.85,0.36
0.34,0.85,0.36
0.34,0.86,0.36
0.34,0.86,0.36
0.34,0.86,0.36
0.34,0.85,0.37
0.34,0.85,0.36
0.33,0.86,0.36
0.34,0.85,0.36
0.34,0.86,0.36
0.34,0.86,0.36
0.34,0.86,0.36
0.33,0.86,0.36
0.33,0.86,0.36
0.33,0.86,0.35
0.33,0.85,0.35
0.33,0.86,0.35
0.34,0.86,0.36
0.34,0.86,0.36
0.34,0.86,0.36
0.33,0.86,0.37
0.34,0.86,0.37
0.34,0.85,0.37
0.35,0.85,0.38
0.34,0.85,0.4
0.34,0.85,0.42
0.33,0.85,0.43
0.32,0.85,0.43
0.32,0.84,0.44
0.33,0.84,0.45
0.33,0.84,0.45
0.34,0.85,0.44
0.35,0.84,0.42
0.35,0.85,0.4
0.37,0.84,0.38
0.38,0.84,0.36
0.37,0.85,0.37
0.39,0.84,0.38
0.44,0.84,0.41
0.44,0.84,0.44
0.41,0.84,0.46
0.39,0.84,0.46
0.39,0.84,0.44
0.37,0.84,0.42
0.34,0.84,0.39
0.32,0.85,0.37
0.3,0.86,0.33
0.3,0.87,0.3
0.28,0.88,0.29
0.26,0.88,0.28
0.26,0.89,0.26
0.27,0.89,0.25
0.26,0.9,0.23
0.24,0.92,0.21
0.22,0.93,0.18
0.2,0.94,0.15
0.2,0.94,0.12
0.21,0.94,0.09
0.23,0.95,0.07
0.24,0.95,0.06
0.24,0.95,0.04
0.23,0.95,0.02
0.22,0.96,0
0.21,0.96,-0.01
0.21,0.96,-0.02
0.21,0.97,-0.02
0.21,0.97,-0.03
0.22,0.96,-0.02
0.22,0.96,-0.02
0.22,0.95,-0.02
0.22,0.95,-0.02
0.22,0.94,-0.03
0.22,0.94,-0.03
0.24,0.92,-0.03
0.24,0.91,0
0.25,0.91,0.02
0.26,0.9,0.05
0.22,0.89,0.08
0.19,0.89,0.11
0.19,0.87,0.14
0.19,0.85,0.16
0.21,0.83,0.19
0.21,0.81,0.23
0.18,0.78,0.27
1.69,0,1.95
1.08,0.89,0.82
0.32,1.33,0.12
-0.41,0.92,0.33
-0.72,0.57,0.23
-0.29,0.56,0.13
0.27,0.86,0.08
0.55,1.08,0.08
0.54,1.03,0.22
0.46,0.85,0.43
0.36,0.81,0.58
0.48,0.88,0.5
0.54,0.93,0.38
0.35,0.88,0.34
0.27,0.83,0.31
0.3,0.85,0.31
0.31,0.84,0.34
0.31,0.83,0.39
0.32,0.84,0.42
0.32,0.85,0.42
0.33,0.85,0.4
0.35,0.85,0.38
0.35,0.85,0.35
0.34,0.87,0.33
0.32,0.87,0.33
0.32,0.86,0.33
0.33,0.86,0.34
0.33,0.85,0.35
0.35,0.85,0.36
0.36,0.85,0.37
0.36,0.85,0.36
0.36,0.85,0.36
0.36,0.85,0.36
0.34,0.85,0.36
0.33,0.85,0.36
0.32,0.85,0.36
0.31,0.86,0.36
0.32,0.86,0.36
0.33,0.85,0.35
0.33,0.85,0.35
0.34,0.86,0.36
0.33,0.86,0.36
0.33,0.86,0.36
0.34,0.85,0.37
0.33,0.85,0.36
0.33,0.85,0.37
0.33,0.85,0.38
0.33,0.85,0.37
0.33,0.85,0.37
0.33,0.85,0.37
0.33,0.86,0.37
0.33,0.86,0.36
0.33,0.86,0.36
0.33,0.85,0.36
0.33,0.86,0.36
0.34,0.85,0.36
0.35,0.85,0.37
0.35,0.85,0.37
0.34,0.85,0.37
0.34,0.85,0.37
0.33,0.85,0.36
0.34,0.85,0.35
0.34,0.85,0.35
0.34,0.86,0.35
0.34,0.86,0.36
0.33,0.86,0.36
0.33,0.86,0.36
0.33,0.86,0.36
0.33,0.85,0.37
0.33,0.86,0.37
0.33,0.86,0.36
0.34,0.85,0.36
0.34,0.85,0.36
0.34,0.86,0.37
0.34,0.85,0.37
0.33,0.85,0.37
0.33,0.85,0.36
0.33,0.86,0.36
0.33,0.86,0.36
0.33,0.86,0.36
0.34,0.85,0.37
0.34,0.85,0.37
0.34,0.85,0.38
0.34,0.86,0.38
0.34,0.85,0.38
0.33,0.85,0.39
0.33,0.85,0.39
0.33,0.86,0.38
0.34,0.85,0.4
0.34,0.84,0.43
0.32,0.85,0.47
0.32,0.85,0.5
0.34,0.84,0.48
0.35,0.85,0.47
0.34,0.85,0.44
0.32,0.85,0.4
0.31,0.84,0.37
0.31,0.84,0.34
0.34,0.84,0.34
0.37,0.84,0.35
0.4,0.84,0.36
0.41,0.85,0.37
0.43,0.84,0.39
0.48,0.84,0.42
0.51,0.84,0.44
0.49,0.83,0.45
0.39,0.84,0.42
0.35,0.85,0.39
0.33,0.85,0.35
0.32,0.86,0.31
0.31,0.87,0.28
0.29,0.88,0.26
0.28,0.89,0.24
0.26,0.9,0.23
0.25,0.91,0.21
0.25,0.92,0.19
0.24,0.92,0.17
0.24,0.93,0.15
0.23,0.93,0.13
0.22,0.94,0.12
