Acc_x,Acc_y,Acc_z
0.62,0.76,-0.09
0.62,0.76,-0.09
0.62,0.76,-0.09
0.61,0.75,-0.1
0.61,0.75,-0.09
0.61,0.75,-0.09
0.61,0.75,-0.09
0.62,0.75,-0.09
0.62,0.75,-0.08
0.62,0.75,-0.08
0.62,0.75,-0.08
0.62,0.74,-0.08
0.62,0.73,-0.08
0.63,0.73,-0.08
0.63,0.73,-0.07
0.64,0.73,-0.07
0.64,0.72,-0.07
0.64,0.71,-0.07
0.65,0.7,-0.07
0.65,0.69,-0.06
0.66,0.68,-0.06
0.66,0.67,-0.06
0.67,0.65,-0.05
0.68,0.63,-0.04
0.69,0.61,-0.03
0.7,0.59,-0.02
0.7,0.58,-0.01
0.71,0.57,0
0.72,0.55,0.01
0.72,0.53,0.02
0.71,0.51,0.02
0.7,0.49,0.02
0.7,0.47,0.02
0.7,0.46,0.03
0.69,0.47,0.04
0.67,0.51,0.04
0.66,0.55,0.02
0.67,0.58,0
0.69,0.58,-0.03
0.72,0.57,-0.06
0.74,0.56,-0.07
0.76,0.55,-0.05
0.79,0.55,-0.02
0.8,0.55,0.02
0.8,0.55,0.05
0.79,0.56,0.08
0.79,0.56,0.09
0.8,0.56,0.09
0.81,0.57,0.09
0.83,0.57,0.08
0.85,0.56,0.07
0.87,0.57,0.07
0.89,0.59,0.06
0.91,0.59,0.06
0.91,0.6,0.07
0.91,0.6,0.1
0.89,0.6,0.13
0.88,0.58,0.15
0.87,0.57,0.17
0.85,0.56,0.19
0.83,0.56,0.21
0.81,0.59,0.23
0.79,0.61,0.23
0.79,0.63,0.24
0.81,0.63,0.25
0.82,0.63,0.26
0.83,0.62,0.26
0.78,0.59,0.26
0.75,0.58,0.29
0.75,0.58,0.34
0.7,0.57,0.38
0.66,0.56,0.42
0.65,0.57,0.45
0.67,0.58,0.48
0.67,0.56,0.5
0.67,0.55,0.51
0.69,0.54,0.54
0.68,0.53,0.56
0.63,0.53,0.59
0.59,0.53,0.62
0.56,0.53,0.63
0.53,0.52,0.64
0.53,0.52,0.65
0.52,0.53,0.66
0.52,0.53,0.67
0.52,0.53,0.68
0.49,0.53,0.7
0.45,0.53,0.72
0.44,0.51,0.73
0.44,0.49,0.75
0.44,0.48,0.75
0.45,0.47,0.76
0.45,0.45,0.78
0.44,0.44,0.8
0.41,0.43,0.82
0.38,0.42,0.81
0.36,0.41,0.82
0.31,0.4,0.85
0.28,0.38,0.87
0.27,0.37,0.89
0.27,0.36,0.9
0.26,0.36,0.89
0.28,0.35,0.89
0.32,0.32,0.88
0.35,0.31,0.88
0.38,0.29,0.88
0.38,0.27,0.9
0.36,0.25,0.94
0.33,0.24,0.97
0.32,0.25,0.99
0.31,0.25,0.98
0.32,0.25,0.98
0.33,0.25,0.97
0.33,0.25,0.94
0.31,0.24,0.93
0.28,0.24,0.93
0.27,0.24,0.92
0.25,0.25,0.92
0.24,0.25,0.92
0.24,0.24,0.91
0.25,0.23,0.92
0.23,0.22,0.93
0.22,0.21,0.94
0.22,0.2,0.94
0.21,0.19,0.94
0.2,0.18,0.95
0.2,0.17,0.95
0.21,0.16,0.96
0.24,0.16,0.96
0.28,0.16,0.96
0.27,0.15,0.98
0.26,0.13,1.01
0.28,0.11,1.04
0.35,0.11,1.09
0.4,0.16,1.12
0.35,0.19,1.12
0.28,0.18,1.06
0.25,0.19,1.01
0.23,0.19,0.98
0.2,0.18,0.99
0.18,0.17,1
0.19,0.17,0.98
0.22,0.17,0.95
0.24,0.17,0.94
0.24,0.18,0.95
0.25,0.16,0.97
0.29,0.15,0.97
0.3,0.16,0.97
0.29,0.17,0.99
0.29,0.17,1
0.3,0.14,0.98
0.36,0.13,0.91
0.45,0.13,0.85
0.5,0.17,0.81
0.51,0.18,0.8
0.5,0.17,0.8
0.48,0.17,0.8
0.46,0.17,0.84
0.42,0.17,0.89
0.38,0.19,0.93
0.36,0.2,0.96
0.35,0.21,0.96
0.36,0.21,0.94
0.37,0.2,0.91
0.35,0.2,0.91
0.34,0.2,0.9
0.34,0.19,0.91
0.34,0.19,0.91
0.32,0.19,0.91
0.31,0.19,0.92
0.3,0.18,0.92
0.3,0.18,0.92
0.31,0.17,0.92
0.33,0.17,0.91
0.34,0.17,0.92
0.34,0.16,0.92
0.35,0.16,0.93
0.35,0.16,0.95
0.35,0.16,0.96
0.35,0.16,0.97
0.35,0.16,0.96
0.35,0.16,0.95
0.35,0.17,0.94
0.35,0.18,0.93
0.34,0.18,0.92
0.35,0.18,0.92
0.37,0.18,0.92
0.38,0.18,0.92
0.38,0.19,0.91
0.38,0.2,0.92
0.36,0.2,0.93
0.34,0.2,0.93
0.34,0.2,0.92
0.34,0.2,0.92
0.35,0.19,0.92
0.35,0.18,0.92
0.36,0.18,0.91
0.35,0.18,0.91
0.35,0.18,0.91
0.35,0.17,0.91
0.35,0.18,0.92
0.35,0.18,0.92
0.34,0.18,0.92
0.34,0.18,0.92
0.34,0.18,0.92
0.35,0.18,0.91
0.36,0.18,0.91
0.36,0.18,0.92
0.36,0.19,0.92
0.37,0.19,0.93
0.37,0.19,0.93
0.37,0.19,0.93
0.37,0.18,0.92
0.37,0.18,0.92
0.36,0.18,0.91
0.37,0.18,0.91
0.37,0.18,0.91
0.36,0.17,0.91
0.36,0.18,0.92
0.36,0.19,0.93
0.36,0.18,0.93
0.36,0.18,0.92
0.35,0.18,0.92
0.36,0.18,0.91
0.37,0.18,0.91
0.38,0.18,0.9
0.38,0.17,0.9
0.38,0.17,0.9
0.38,0.17,0.91
0.38,0.17,0.92
0.38,0.17,0.92
0.38,0.17,0.93
0.37,0.17,0.92
0.36,0.17,0.91
0.36,0.17,0.91
0.36,0.18,0.91
0.37,0.18,0.91
0.37,0.18,0.91
0.37,0.18,0.92
0.37,0.19,0.92
0.37,0.18,0.91
0.37,0.16,0.9
0.38,0.17,0.91
0.38,0.17,0.92
0.39,0.16,0.94
0.39,0.17,0.93
0.38,0.17,0.93
0.38,0.17,0.92
0.38,0.16,0.91
0.37,0.16,0.91
0.35,0.15,0.91
0.35,0.15,0.92
0.34,0.15,0.92
0.32,0.15,0.93
0.33,0.16,0.93
0.35,0.16,0.94
0.36,0.16,0.94
0.37,0.16,0.93
0.37,0.16,0.92
0.36,0.16,0.91
0.35,0.16,0.92
0.34,0.16,0.92
0.33,0.16,0.92
0.31,0.16,0.93
0.3,0.15,0.94
0.31,0.15,0.93
0.33,0.15,0.92
0.34,0.15,0.92
0.35,0.16,0.92
0.35,0.15,0.93
0.35,0.16,0.93
0.35,0.16,0.93
0.34,0.16,0.94
0.33,0.17,0.94
0.33,0.17,0.94
0.34,0.17,0.93
0.32,0.17,0.94
0.32,0.17,0.93
0.34,0.17,0.92
0.34,0.17,0.91
0.34,0.16,0.92
0.34,0.16,0.92
0.34,0.16,0.92
0.34,0.16,0.93
0.33,0.16,0.94
0.32,0.16,0.94
0.33,0.17,0.95
0.34,0.17,0.94
0.34,0.18,0.92
0.34,0.18,0.92
0.34,0.17,0.94
0.34,0.17,0.94
0.34,0.17,0.93
0.33,0.17,0.93
0.33,0.17,0.93
0.32,0.17,0.93
0.31,0.17,0.92
0.31,0.17,0.92
0.33,0.16,0.92
0.35,0.16,0.92
0.34,0.17,0.92
0.34,0.17,0.92
0.33,0.17,0.93
0.31,0.18,0.94
0.31,0.17,0.94
0.31,0.17,0.94
0.31,0.18,0.94
0.31,0.18,0.94
0.31,0.18,0.94
0.32,0.18,0.94
0.31,0.19,0.95
0.3,0.19,0.95
0.31,0.18,0.95
0.32,0.18,0.96
0.34,0.18,0.95
0.36,0.18,0.94
0.38,0.18,0.94
0.37,0.19,0.94
0.36,0.21,0.94
0.33,0.22,0.95
0.34,0.23,0.94
