Acc_x,Acc_y,Acc_z
0.44,0.8,0.36
0.44,0.8,0.36
0.44,0.8,0.36
0.44,0.81,0.36
0.44,0.81,0.36
0.45,0.81,0.36
0.45,0.81,0.37
0.45,0.8,0.37
0.45,0.8,0.37
0.45,0.8,0.37
0.45,0.8,0.37
0.44,0.8,0.36
0.44,0.8,0.36
0.44,0.8,0.36
0.44,0.8,0.36
0.44,0.8,0.36
0.44,0.81,0.36
0.44,0.81,0.36
0.44,0.8,0.36
0.44,0.8,0.37
0.44,0.8,0.38
0.44,0.8,0.37
0.44,0.8,0.35
0.43,0.8,0.35
0.43,0.8,0.35
0.44,0.8,0.35
0.45,0.8,0.35
0.46,0.8,0.36
0.46,0.81,0.36
0.46,0.81,0.35
0.46,0.81,0.36
0.45,0.81,0.37
0.45,0.81,0.37
0.46,0.8,0.38
0.46,0.79,0.38
0.46,0.79,0.4
0.46,0.78,0.44
0.46,0.78,0.46
0.46,0.78,0.46
0.47,0.79,0.44
0.46,0.79,0.43
0.47,0.78,0.43
0.47,0.77,0.43
0.45,0.76,0.45
0.44,0.76,0.46
0.46,0.75,0.44
0.49,0.75,0.42
0.5,0.75,0.41
0.53,0.76,0.41
0.54,0.78,0.4
0.53,0.79,0.39
0.51,0.8,0.38
0.48,0.81,0.38
0.47,0.82,0.37
0.45,0.82,0.35
0.43,0.83,0.32
0.41,0.86,0.26
0.38,0.87,0.22
0.38,0.87,0.2
0.37,0.88,0.17
0.38,0.89,0.16
0.37,0.89,0.15
0.36,0.9,0.14
0.35,0.9,0.13
0.34,0.9,0.12
0.34,0.9,0.1
0.33,0.9,0.09
0.33,0.9,0.09
0.34,0.9,0.09
0.34,0.91,0.09
0.34,0.91,0.09
0.33,0.92,0.08
0.33,0.92,0.08
0.34,0.93,0.07
0.34,0.93,0.06
0.35,0.93,0.06
0.38,0.92,0.06
0.4,0.91,0.08
0.41,0.9,0.1
0.44,0.89,0.13
0.47,0.89,0.16
0.45,0.9,0.18
0.4,0.91,0.22
0.25,0.91,0.19
0.16,0.94,0.07
0.15,0.93,-0.08
0.23,0.86,-0.14
0.47,0.79,-0.39
1.8,0.32,1.66
1.78,0.25,2.95
0.52,0.72,1.19
0.16,0.86,0.39
-0.18,0.88,0.32
-0.01,0.82,0.22
0.39,0.87,0.14
0.56,0.9,0.15
0.58,0.87,0.25
0.52,0.85,0.33
0.48,0.83,0.4
0.43,0.81,0.45
0.37,0.77,0.46
0.34,0.76,0.44
0.34,0.78,0.42
0.37,0.78,0.4
0.41,0.78,0.38
0.45,0.78,0.36
0.49,0.79,0.35
0.52,0.79,0.35
0.53,0.8,0.33
0.49,0.82,0.32
0.48,0.82,0.32
0.48,0.82,0.31
0.48,0.82,0.32
0.49,0.82,0.34
0.49,0.82,0.36
0.5,0.82,0.36
0.5,0.82,0.35
0.5,0.82,0.35
0.5,0.81,0.34
0.49,0.81,0.34
0.48,0.8,0.35
0.48,0.8,0.35
0.48,0.8,0.34
0.48,0.79,0.35
0.47,0.79,0.36
0.46,0.79,0.37
0.46,0.78,0.37
0.45,0.78,0.37
0.45,0.78,0.37
0.45,0.78,0.36
0.45,0.79,0.36
0.45,0.79,0.36
0.46,0.79,0.36
0.46,0.79,0.36
0.45,0.79,0.37
0.45,0.79,0.36
0.46,0.8,0.35
0.48,0.81,0.34
0.48,0.81,0.34
0.48,0.8,0.34
0.48,0.8,0.35
0.48,0.8,0.35
0.48,0.8,0.35
0.47,0.8,0.35
0.47,0.8,0.35
0.46,0.8,0.35
0.46,0.8,0.34
0.48,0.81,0.34
0.48,0.8,0.34
0.47,0.8,0.34
0.47,0.8,0.34
0.47,0.8,0.35
0.47,0.79,0.35
0.46,0.79,0.35
0.46,0.8,0.35
0.46,0.8,0.35
0.47,0.8,0.35
0.48,0.8,0.34
0.47,0.8,0.35
0.47,0.8,0.34
0.47,0.8,0.35
0.47,0.8,0.35
0.48,0.8,0.35
0.48,0.8,0.35
0.48,0.81,0.34
0.47,0.8,0.35
0.47,0.8,0.35
0.47,0.8,0.35
0.46,0.8,0.35
0.46,0.8,0.35
0.47,0.8,0.34
0.47,0.79,0.34
0.47,0.8,0.35
0.47,0.8,0.35
0.47,0.8,0.35
0.47,0.8,0.35
0.47,0.8,0.35
0.48,0.79,0.35
0.48,0.79,0.36
0.47,0.8,0.36
0.47,0.8,0.35
0.47,0.8,0.34
0.47,0.81,0.33
0.47,0.81,0.33
0.47,0.81,0.33
0.47,0.81,0.33
0.47,0.81,0.34
0.47,0.8,0.34
0.47,0.8,0.34
0.47,0.8,0.34
0.47,0.81,0.34
0.47,0.81,0.35
0.47,0.8,0.35
0.47,0.8,0.35
0.47,0.8,0.34
0.47,0.8,0.33
0.47,0.79,0.33
0.46,0.79,0.33
0.46,0.79,0.34
0.47,0.79,0.34
0.46,0.8,0.35
0.46,0.81,0.35
0.48,0.81,0.32
0.48,0.82,0.3
0.47,0.82,0.29
0.46,0.81,0.29
0.43,0.81,0.28
0.43,0.8,0.28
0.43,0.8,0.34
0.42,0.79,0.39
0.42,0.78,0.42
0.46,0.8,0.43
0.5,0.8,0.41
0.51,0.81,0.37
0.48,0.8,0.37
0.49,0.78,0.38
0.51,0.77,0.38
0.52,0.77,0.41
0.55,0.77,0.44
0.56,0.77,0.45
0.54,0.78,0.45
0.53,0.79,0.45
0.51,0.8,0.43
0.5,0.8,0.41
0.48,0.8,0.41
0.46,0.81,0.4
0.44,0.81,0.39
0.42,0.81,0.39
0.42,0.81,0.39
0.42,0.8,0.39
0.42,0.79,0.4
0.43,0.79,0.43
0.43,0.79,0.45
0.42,0.78,0.46
0.4,0.77,0.46
0.39,0.77,0.46
0.38,0.76,0.45
0.38,0.77,0.43
0.39,0.78,0.42
0.39,0.79,0.37
0.4,0.81,0.36
0.4,0.82,0.34
