Acc_x,Acc_y,Acc_z
0.27,0.93,0.12
0.27,0.93,0.12
0.24,0.93,0.13
0.24,0.93,0.1
0.26,0.94,0.04
0.25,0.95,0
0.24,0.95,-0.01
0.23,0.95,0
0.22,0.94,0.02
0.23,0.94,0.03
0.24,0.95,0.02
0.26,0.96,-0.01
0.26,0.96,-0.04
0.26,0.97,-0.07
0.25,0.98,-0.1
0.24,0.99,-0.12
0.25,0.98,-0.13
0.25,0.96,-0.12
0.24,0.95,-0.09
0.22,0.95,-0.05
0.08,0.93,0.25
0.05,0.94,0.28
0.03,0.94,0.31
0.01,0.94,0.32
0,0.94,0.34
-0.02,0.94,0.34
-0.05,0.94,0.34
-0.07,0.93,0.34
-0.09,0.92,0.34
-0.1,0.92,0.36
-0.11,0.92,0.38
-0.11,0.92,0.39
-0.1,0.92,0.4
-0.1,0.92,0.42
-0.1,0.93,0.41
-0.1,0.92,0.39
-0.09,0.91,0.38
-0.08,0.9,0.39
-0.07,0.91,0.4
-0.05,0.91,0.4
-0.03,0.92,0.4
-0.01,0.92,0.38
-0.01,0.93,0.36
-0.01,0.92,0.33
0.01,0.92,0.31
0.03,0.92,0.31
0.05,0.93,0.32
0.05,0.93,0.33
0.04,0.93,0.35
0.04,0.93,0.37
0.03,0.93,0.37
0.02,0.92,0.37
0.02,0.92,0.37
0.01,0.92,0.37
0.01,0.92,0.36
0.02,0.92,0.36
0.03,0.92,0.36
0.03,0.92,0.35
0.02,0.91,0.35
0.03,0.91,0.34
0.04,0.91,0.34
0.05,0.91,0.35
0.05,0.92,0.37
0.05,0.92,0.38
0.05,0.92,0.39
0.04,0.91,0.4
0.04,0.91,0.42
0.04,0.91,0.42
0.04,0.91,0.42
0.04,0.91,0.42
0.04,0.91,0.41
0.05,0.91,0.4
0.06,0.91,0.38
0.05,0.9,0.36
0.07,0.9,0.34
0.09,0.92,0.32
0.1,0.92,0.29
0.13,0.91,0.27
0.16,0.91,0.27
0.17,0.92,0.26
0.18,0.92,0.24
0.21,0.92,0.23
0.23,0.91,0.23
0.23,0.92,0.24
0.22,0.92,0.26
0.24,0.92,0.27
0.25,0.92,0.29
0.24,0.92,0.32
0.25,0.91,0.34
0.26,0.91,0.34
0.26,0.9,0.34
0.25,0.89,0.34
0.24,0.89,0.34
0.22,0.89,0.34
0.22,0.89,0.34
0.22,0.89,0.35
0.24,0.9,0.37
0.26,0.9,0.36
0.27,0.89,0.34
0.26,0.89,0.32
0.26,0.89,0.3
0.25,0.9,0.3
0.25,0.91,0.31
0.24,0.91,0.31
0.22,0.91,0.3
0.22,0.91,0.28
0.23,0.91,0.28
0.26,0.9,0.28
0.29,0.89,0.28
0.32,0.9,0.27
0.33,0.9,0.26
0.32,0.89,0.27
0.3,0.88,0.27
0.28,0.87,0.26
0.29,0.85,0.25
0.31,0.84,0.23
0.33,0.83,0.23
0.34,0.83,0.25
0.35,0.82,0.26
0.38,0.8,0.27
0.4,0.79,0.28
0.4,0.77,0.28
0.4,0.75,0.29
0.42,0.74,0.3
0.44,0.73,0.32
0.45,0.74,0.34
0.47,0.74,0.38
0.47,0.73,0.41
0.47,0.73,0.45
0.47,0.73,0.47
0.46,0.72,0.47
0.46,0.71,0.47
0.43,0.69,0.48
0.39,0.69,0.48
0.35,0.72,0.5
0.34,0.79,0.52
0.34,0.87,0.51
0.36,0.93,0.49
0.39,0.97,0.47
0.42,1.01,0.45
0.43,1.02,0.44
0.43,1.02,0.43
0.45,1.02,0.42
0.49,1.02,0.42
0.49,1,0.43
0.46,0.97,0.44
0.44,0.96,0.43
0.45,0.96,0.41
0.46,0.95,0.4
0.45,0.94,0.38
0.42,0.92,0.37
0.41,0.9,0.35
0.4,0.88,0.33
0.4,0.88,0.32
0.4,0.89,0.34
0.37,0.88,0.38
0.34,0.86,0.4
0.32,0.84,0.39
0.33,0.86,0.38
0.33,0.87,0.39
0.33,0.86,0.4
0.33,0.85,0.38
0.34,0.85,0.36
0.35,0.87,0.34
0.35,0.88,0.33
0.35,0.87,0.32
0.37,0.86,0.31
0.39,0.85,0.29
0.39,0.85,0.27
0.37,0.85,0.27
0.36,0.84,0.27
0.35,0.83,0.27
0.34,0.81,0.29
0.34,0.81,0.29
0.33,0.8,0.28
0.32,0.79,0.29
0.31,0.8,0.29
0.3,0.82,0.25
0.28,0.82,0.25
0.27,0.83,0.24
0.25,0.84,0.24
0.22,0.85,0.22
0.21,0.86,0.19
0.23,0.84,0.19
0.23,0.84,0.19
0.23,0.82,0.21
0.23,0.82,0.22
0.22,0.82,0.23
0.25,0.87,0.22
0.31,1.14,0.31
0.33,1.47,0.33
0.26,0.96,0.32
0.23,0.72,0.28
0.28,0.75,0.21
0.3,0.81,0.15
0.26,0.93,0.11
0.22,1.04,0.11
0.24,0.99,0.11
0.26,0.91,0.12
0.25,0.92,0.13
0.22,0.98,0.13
0.21,1,0.1
0.21,0.97,0.08
0.22,0.96,0.06
0.2,0.98,0.05
0.17,0.98,0.06
0.14,0.97,0.08
0.14,0.97,0.08
0.14,0.97,0.08
0.13,0.96,0.08
0.14,0.96,0.08
0.14,0.96,0.07
0.13,0.97,0.06
0.12,0.98,0.04
0.12,0.98,0.02
0.13,0.98,0.02
0.13,0.97,0.03
0.12,0.98,0.04
0.11,0.98,0.05
0.11,0.98,0.05
0.12,0.97,0.05
0.12,0.97,0.05
0.12,0.98,0.05
0.11,0.98,0.05
0.12,0.98,0.04
0.12,0.98,0.03
0.11,0.97,0.04
