Acc_x,Acc_y,Acc_z
0.39,0.92,0
0.39,0.92,0.01
0.38,0.9,0.02
0.37,0.9,0.03
0.36,0.91,0.04
0.36,0.91,0.05
0.36,0.9,0.06
0.37,0.9,0.06
0.39,0.9,0.07
0.39,0.89,0.07
0.38,0.89,0.06
0.39,0.89,0.06
0.4,0.88,0.06
0.41,0.88,0.06
0.43,0.89,0.05
0.44,0.89,0.04
0.42,0.88,0.08
0.4,0.86,0.12
0.41,0.85,0.13
0.42,0.84,0.14
0.43,0.84,0.14
0.45,0.83,0.13
0.48,0.83,0.11
0.5,0.82,0.1
0.52,0.82,0.1
0.54,0.82,0.1
0.55,0.82,0.12
0.54,0.82,0.19
0.51,0.82,0.22
0.51,0.81,0.25
0.51,0.81,0.26
0.52,0.82,0.24
0.5,0.83,0.24
0.48,0.83,0.23
0.48,0.83,0.23
0.48,0.83,0.23
0.47,0.83,0.24
0.45,0.83,0.27
0.43,0.83,0.3
0.43,0.84,0.3
0.45,0.85,0.29
0.48,0.85,0.27
0.49,0.84,0.26
0.51,0.82,0.28
0.52,0.82,0.32
0.49,0.82,0.35
0.44,0.83,0.36
0.4,0.82,0.36
0.38,0.81,0.36
0.38,0.81,0.37
0.41,0.81,0.38
0.43,0.82,0.39
0.43,0.82,0.41
0.41,0.83,0.5
0.29,0.82,0.53
0.24,0.82,0.53
0.2,0.82,0.53
0.16,0.82,0.54
0.13,0.81,0.57
0.1,0.79,0.59
0.11,0.79,0.6
0.16,0.79,0.61
0.23,0.8,0.59
0.3,0.82,0.57
0.35,0.83,0.55
0.36,0.82,0.52
0.36,0.82,0.5
0.35,0.81,0.5
0.35,0.82,0.5
0.35,0.83,0.51
0.32,0.82,0.52
0.28,0.81,0.53
0.25,0.79,0.53
0.24,0.78,0.53
0.22,0.78,0.5
0.22,0.78,0.5
0.2,0.77,0.54
0.19,0.77,0.57
0.18,0.77,0.58
0.19,0.77,0.58
0.21,0.78,0.57
0.19,0.78,0.55
0.18,0.78,0.55
0.17,0.77,0.55
0.17,0.78,0.55
0.19,0.79,0.55
0.21,0.8,0.54
0.23,0.8,0.53
0.22,0.8,0.53
0.21,0.8,0.54
0.19,0.8,0.55
0.19,0.8,0.57
0.18,0.79,0.57
0.19,0.79,0.57
0.19,0.78,0.58
0.18,0.78,0.58
0.18,0.77,0.58
0.18,0.76,0.58
0.19,0.77,0.6
0.2,0.77,0.6
0.2,0.77,0.59
0.19,0.77,0.59
0.19,0.76,0.59
0.19,0.76,0.58
0.19,0.77,0.58
0.19,0.77,0.59
0.2,0.77,0.59
0.2,0.77,0.6
0.2,0.77,0.59
0.2,0.77,0.59
0.19,0.77,0.59
0.19,0.77,0.59
0.19,0.77,0.58
0.19,0.77,0.58
0.2,0.77,0.59
0.21,0.77,0.59
0.22,0.77,0.6
0.22,0.78,0.6
0.22,0.78,0.6
0.22,0.77,0.6
0.21,0.77,0.6
0.21,0.77,0.59
0.2,0.77,0.58
0.2,0.77,0.57
0.2,0.77,0.56
0.21,0.77,0.56
0.22,0.77,0.56
0.23,0.78,0.57
0.22,0.78,0.57
0.22,0.78,0.57
0.21,0.78,0.58
0.21,0.78,0.57
0.2,0.77,0.58
0.19,0.77,0.58
0.19,0.78,0.57
0.19,0.78,0.57
0.19,0.78,0.58
0.2,0.78,0.58
0.2,0.78,0.58
0.2,0.78,0.57
0.2,0.78,0.57
0.2,0.78,0.58
