avg_train_loss,avg_val_loss,epoch,step,train_loss,val_loss
,,0,9,0.797425389289856,
,,0,19,0.639041543006897,
,,0,29,0.4977668225765228,
,,0,39,0.4379357099533081,
,,0,49,0.4125004708766937,
,,0,59,0.3236447274684906,
,,0,69,0.27103373408317566,
,,0,79,0.20602405071258545,
,,0,89,0.2887828052043915,
,,0,99,0.2992778420448303,
,,0,109,0.3270970582962036,
,,0,119,0.3035956919193268,
,,0,129,0.35219305753707886,
,,0,139,0.37911534309387207,
,,0,149,0.19294001162052155,
,,0,159,0.26267772912979126,
,,0,169,0.3733863830566406,
,,0,179,0.3586011230945587,
,,0,189,0.4066103398799896,
,,0,199,0.17046840488910675,
,,0,209,0.2779611051082611,
,,0,219,0.2620536983013153,
,,0,229,0.3328588008880615,
,,0,239,0.4496738314628601,
,,0,249,0.4092012345790863,
,,0,259,0.2946052849292755,
,,0,269,0.23899106681346893,
,,0,279,0.25488951802253723,
,,0,289,0.23795156180858612,
,,0,299,0.3099307715892792,
,,0,309,0.33838582038879395,
,,0,319,0.179587721824646,
,,0,329,0.46589767932891846,
,,0,339,0.3883330523967743,
,,0,349,0.20004664361476898,
,,0,359,0.2215455174446106,
,,0,369,0.3269210159778595,
,,0,379,0.27031636238098145,
,,0,389,0.1756903976202011,
,,0,399,0.2706536054611206,
,,0,409,0.31140971183776855,
,,0,419,0.30137696862220764,
,,0,429,0.20582909882068634,
,,0,439,0.1704418659210205,
,,0,449,0.3247842490673065,
,,0,459,0.18321223556995392,
,,0,469,3.637254238128662,
,,0,479,0.29527056217193604,
,,0,489,0.17580996453762054,
,,0,499,0.24664367735385895,
,,0,509,0.2012765258550644,
,,0,519,0.19474877417087555,
,,0,529,0.19811299443244934,
,,0,539,0.19410225749015808,
,,0,549,0.39359983801841736,
,,0,559,0.2187936156988144,
,,0,569,0.42144307494163513,
,,0,579,0.1969994604587555,
,,0,589,0.16793444752693176,
,,0,599,0.21327373385429382,
,,0,609,0.15569165349006653,
,,0,619,0.2706095278263092,
,,0,629,1.45975923538208,
,,0,639,0.18017062544822693,
,,0,649,0.1581895500421524,
,,0,659,0.21567660570144653,
,,0,669,0.13760390877723694,
,,0,679,0.23308324813842773,
,,0,689,0.2237604260444641,
,,0,699,0.17507290840148926,
,,0,709,0.19072885811328888,
,,0,719,0.17473167181015015,
,,0,729,0.1343662291765213,
