Acc_x,Acc_y,Acc_z
0.44,0.1,-0.88
0.44,0.09,-0.88
0.44,0.08,-0.88
0.44,0.09,-0.88
0.44,0.11,-0.88
0.44,0.12,-0.89
0.44,0.12,-0.88
0.45,0.12,-0.87
0.45,0.1,-0.86
0.46,0.08,-0.86
0.46,0.08,-0.86
0.46,0.08,-0.88
0.46,0.08,-0.9
0.46,0.1,-0.92
0.45,0.1,-0.92
0.45,0.09,-0.91
0.45,0.09,-0.88
0.44,0.08,-0.86
0.45,0.07,-0.86
0.45,0.06,-0.86
0.46,0.05,-0.87
0.46,0.06,-0.86
0.45,0.08,-0.85
0.44,0.09,-0.85
0.45,0.11,-0.87
0.45,0.11,-0.87
0.44,0.1,-0.87
0.45,0.11,-0.87
0.45,0.12,-0.87
0.45,0.13,-0.86
0.47,0.15,-0.85
0.47,0.15,-0.85
0.49,0.14,-0.85
0.5,0.13,-0.86
0.51,0.12,-0.86
0.5,0.13,-0.87
0.49,0.14,-0.87
0.49,0.13,-0.88
0.48,0.14,-0.87
0.46,0.14,-0.85
0.46,0.14,-0.83
0.48,0.12,-0.83
0.48,0.11,-0.83
0.49,0.12,-0.82
0.48,0.13,-0.81
0.48,0.13,-0.81
0.49,0.12,-0.81
0.49,0.13,-0.81
0.5,0.13,-0.81
0.52,0.13,-0.83
0.53,0.13,-0.85
0.54,0.13,-0.86
0.54,0.13,-0.86
0.53,0.13,-0.86
0.53,0.12,-0.85
0.53,0.11,-0.83
0.54,0.1,-0.82
0.54,0.11,-0.81
0.55,0.11,-0.81
0.55,0.12,-0.8
0.54,0.14,-0.79
0.55,0.15,-0.78
0.56,0.14,-0.77
0.56,0.13,-0.76
0.57,0.12,-0.75
0.58,0.11,-0.75
0.59,0.11,-0.76
0.59,0.1,-0.76
0.59,0.11,-0.76
0.59,0.11,-0.76
0.59,0.1,-0.76
0.59,0.11,-0.75
0.59,0.12,-0.74
0.6,0.13,-0.74
0.61,0.12,-0.75
0.62,0.11,-0.76
0.62,0.11,-0.76
0.62,0.11,-0.77
0.61,0.1,-0.77
0.6,0.1,-0.76
0.6,0.09,-0.75
0.62,0.08,-0.76
0.64,0.08,-0.77
0.64,0.09,-0.78
0.64,0.1,-0.77
0.63,0.11,-0.75
0.62,0.11,-0.74
0.63,0.11,-0.74
0.64,0.11,-0.76
0.64,0.11,-0.77
0.63,0.11,-0.77
0.61,0.1,-0.77
0.59,0.09,-0.77
0.59,0.09,-0.78
0.59,0.09,-0.78
0.59,0.09,-0.78
0.6,0.09,-0.78
0.62,0.08,-0.79
0.63,0.08,-0.79
0.62,0.08,-0.77
0.61,0.07,-0.77
0.61,0.07,-0.77
0.59,0.07,-0.78
0.58,0.06,-0.79
0.57,0.05,-0.81
0.58,0.03,-0.83
0.58,0.02,-0.85
0.58,0.02,-0.85
0.57,0.01,-0.85
0.56,0.01,-0.86
0.55,0.02,-0.86
0.52,0.03,-0.86
0.52,0.04,-0.86
0.52,0.05,-0.87
0.53,0.05,-0.87
0.53,0.06,-0.88
0.54,0.04,-0.89
0.55,0.01,-0.9
0.56,0,-0.92
0.56,0.02,-0.92
0.56,0.03,-0.91
0.56,0.04,-0.89
0.55,0.07,-0.86
0.53,0.09,-0.82
0.55,0.08,-0.77
0.58,0.07,-0.73
0.61,0.07,-0.7
0.63,0.07,-0.67
0.64,0.07,-0.65
0.66,0.07,-0.64
0.67,0.07,-0.61
0.69,0.08,-0.59
0.71,0.08,-0.58
0.75,0.1,-0.56
0.8,0.12,-0.55
0.82,0.12,-0.53
0.83,0.11,-0.5
0.83,0.11,-0.5
0.82,0.12,-0.5
0.83,0.09,-0.51
0.83,0.09,-0.52
0.82,0.09,-0.52
0.81,0.08,-0.53
0.82,0.09,-0.54
0.83,0.09,-0.55
0.84,0.1,-0.56
0.85,0.11,-0.56
0.86,0.1,-0.56
0.86,0.09,-0.54
0.86,0.09,-0.53
0.84,0.08,-0.52
0.83,0.08,-0.51
0.83,0.08,-0.51
0.83,0.09,-0.51
0.83,0.09,-0.51
0.84,0.09,-0.5
0.85,0.08,-0.5
0.86,0.08,-0.5
0.86,0.07,-0.5
0.85,0.07,-0.5
0.84,0.06,-0.51
0.83,0.06,-0.52
0.81,0.07,-0.52
0.8,0.08,-0.53
0.8,0.08,-0.54
0.81,0.08,-0.55
0.81,0.07,-0.56
0.82,0.07,-0.56
0.81,0.08,-0.55
0.81,0.08,-0.55
0.81,0.08,-0.55
0.8,0.08,-0.55
0.8,0.08,-0.54
0.81,0.08,-0.54
0.82,0.07,-0.54
0.83,0.06,-0.53
0.83,0.07,-0.53
0.83,0.07,-0.52
0.84,0.07,-0.52
0.85,0.07,-0.52
0.84,0.08,-0.51
0.84,0.08,-0.51
0.82,0.07,-0.51
0.82,0.07,-0.52
0.83,0.06,-0.53
0.83,0.06,-0.53
0.82,0.06,-0.53
0.82,0.07,-0.52
0.82,0.07,-0.52
0.83,0.07,-0.52
0.83,0.08,-0.52
0.84,0.08,-0.51
0.84,0.07,-0.51
0.84,0.06,-0.51
0.83,0.06,-0.51
0.83,0.06,-0.52
0.84,0.06,-0.52
0.84,0.06,-0.52
0.83,0.06,-0.53
0.83,0.06,-0.53
0.84,0.06,-0.53
0.83,0.06,-0.52
0.83,0.06,-0.52
0.83,0.06,-0.52
0.83,0.06,-0.51
0.83,0.06,-0.52
0.84,0.06,-0.52
0.84,0.06,-0.52
0.83,0.06,-0.53
0.82,0.06,-0.52
0.83,0.06,-0.52
0.83,0.06,-0.52
0.83,0.06,-0.51
0.83,0.06,-0.51
0.83,0.06,-0.52
0.83,0.06,-0.52
0.83,0.06,-0.53
0.82,0.05,-0.53
0.82,0.05,-0.53
0.82,0.05,-0.54
0.81,0.06,-0.54
0.81,0.06,-0.55
0.82,0.06,-0.55
0.82,0.06,-0.56
0.83,0.04,-0.55
0.85,0.03,-0.54
0.85,0.03,-0.53
0.86,0.03,-0.52
0.86,0.03,-0.51
0.86,0.03,-0.5
0.86,0.03,-0.5
0.86,0.04,-0.49
0.85,0.04,-0.49
0.86,0.03,-0.49
0.85,0.03,-0.5
0.85,0.04,-0.5
0.84,0.05,-0.5
0.84,0.05,-0.51
0.84,0.05,-0.5
0.84,0.05,-0.51
0.84,0.05,-0.51
0.84,0.05,-0.51
0.83,0.04,-0.52
0.83,0.04,-0.52
0.83,0.03,-0.52
0.83,0.03,-0.53
0.83,0.04,-0.53
0.83,0.04,-0.53
0.83,0.04,-0.53
0.83,0.05,-0.53
0.84,0.05,-0.52
0.84,0.05,-0.52
0.84,0.05,-0.51
0.83,0.05,-0.5
0.84,0.04,-0.5
0.84,0.04,-0.51
0.85,0.04,-0.5
0.85,0.04,-0.51
0.85,0.04,-0.51
0.84,0.04,-0.51
0.85,0.04,-0.51
0.85,0.04,-0.51
0.85,0.04,-0.5
0.84,0.04,-0.5
0.84,0.04,-0.51
0.84,0.03,-0.51
0.84,0.03,-0.51
0.85,0.03,-0.51
0.85,0.03,-0.51
0.85,0.04,-0.51
0.84,0.05,-0.5
0.84,0.05,-0.5
0.84,0.05,-0.5
0.85,0.04,-0.5
0.85,0.04,-0.5
0.85,0.04,-0.5
0.85,0.04,-0.5
0.85,0.03,-0.5
0.85,0.03,-0.5
0.85,0.03,-0.51
0.85,0.03,-0.51
0.85,0.04,-0.5
0.85,0.04,-0.5
0.84,0.04,-0.49
0.84,0.04,-0.49
0.85,0.04,-0.49
0.84,0.05,-0.49
0.84,0.05,-0.49
0.85,0.04,-0.49
0.85,0.03,-0.49
0.85,0.03,-0.5
0.85,0.02,-0.5
0.85,0.02,-0.49
0.85,0.01,-0.49
0.86,0.01,-0.49
0.86,0,-0.49
0.86,0.01,-0.49
0.86,0.01,-0.5
0.86,0.02,-0.49
0.86,0.03,-0.5
0.86,0.03,-0.49
0.86,0.03,-0.49
0.86,0.03,-0.49
0.86,0.03,-0.49
0.85,0.03,-0.49
0.86,0.03,-0.49
0.86,0.03,-0.48
0.86,0.04,-0.48
0.86,0.04,-0.48
0.85,0.04,-0.48
0.85,0.03,-0.49
0.85,0.03,-0.49
0.85,0.04,-0.48
0.85,0.04,-0.48
0.85,0.04,-0.48
0.85,0.04,-0.48
0.85,0.03,-0.48
0.85,0.03,-0.48
0.85,0.03,-0.48
0.85,0.03,-0.49
0.85,0.03,-0.49
0.86,0.03,-0.49
0.86,0.02,-0.5
0.86,0.02,-0.5
0.86,0.01,-0.5
0.86,0,-0.49
0.86,0.01,-0.49
0.86,0.01,-0.49
0.85,0.02,-0.48
0.85,0.02,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.04,-0.48
0.86,0.03,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.85,0.02,-0.49
0.85,0.02,-0.49
0.85,0.02,-0.49
0.86,0.02,-0.49
0.86,0.02,-0.49
0.85,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.02,-0.49
0.86,0.02,-0.49
0.86,0.02,-0.49
0.86,0.02,-0.49
0.86,0.02,-0.49
0.86,0.03,-0.48
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.87,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.02,-0.48
0.87,0.02,-0.48
0.86,0.02,-0.47
0.86,0.02,-0.47
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.48
0.87,0.02,-0.48
0.87,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.47
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.02,-0.49
0.86,0.02,-0.49
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.03,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.49
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.02,-0.48
0.86,0.03,-0.48
0.86,0.03,-0.48
0.86,0.02,-0.49
0.86,0.02,-0.49
0.86,0.02,-0.48
0.86,0.02,-0.48
0.86,0.03,-0.47
0.86,0.03,-0.46
0.86,0.04,-0.46
0.86,0.04,-0.46
0.86,0.03,-0.46
0.87,0.03,-0.46
0.87,0.02,-0.46
0.87,0.01,-0.47
0.87,0,-0.48
0.87,-0.01,-0.48
0.87,-0.01,-0.49
0.87,-0.01,-0.5
0.87,0,-0.51
0.86,0.01,-0.51
0.85,0.02,-0.5
0.86,0.02,-0.5
0.86,0.03,-0.48
0.86,0.03,-0.47
0.86,0.03,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.44
0.87,0.02,-0.44
0.87,0.02,-0.43
0.88,0.01,-0.43
0.88,0.02,-0.44
0.88,0.02,-0.45
0.87,0.03,-0.44
0.88,0.03,-0.45
0.87,0.02,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.47
0.86,0.02,-0.46
0.86,0.02,-0.46
0.86,0.02,-0.46
0.87,0.02,-0.46
0.87,0.02,-0.46
0.87,0.01,-0.46
0.87,0.01,-0.46
0.87,0.01,-0.46
0.88,0.01,-0.46
0.88,0.01,-0.46
0.87,0.01,-0.47
0.87,0,-0.47
0.88,0.01,-0.47
0.87,0.01,-0.47
0.87,0.01,-0.47
0.87,0.02,-0.46
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.46
0.87,0.02,-0.46
0.87,0.02,-0.46
0.87,0.01,-0.47
0.87,0.01,-0.47
0.87,0.01,-0.47
0.87,0.01,-0.47
0.87,0.01,-0.47
0.87,0.01,-0.46
0.87,0.02,-0.46
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.01,-0.45
0.87,0.01,-0.46
0.88,0.01,-0.46
0.88,0,-0.47
0.88,0,-0.47
0.87,0.01,-0.47
0.87,0.01,-0.46
0.87,0.01,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.44
0.87,0.02,-0.44
0.88,0.02,-0.44
0.87,0.02,-0.44
0.87,0.01,-0.45
0.87,0.01,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.46
0.87,0.02,-0.46
0.87,0.02,-0.46
0.87,0.02,-0.46
0.87,0.02,-0.47
0.87,0.02,-0.46
0.87,0.01,-0.46
0.87,0.01,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.01,-0.46
0.88,0.01,-0.46
0.88,0.01,-0.46
0.88,0.01,-0.46
0.88,0.01,-0.45
0.88,0.01,-0.46
0.88,0.01,-0.46
0.88,0,-0.46
